
May 26 12:16 [atrans_hk.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  23175.01  10.05226  -40.1107      3.99  -1.68803     22.32        0.
  23710.24  9.762091  -78.8054     8.073   -2.7591     26.83        0.
  15720.49  10.59955  -13.1744     1.243 -0.442314     27.98        0.
  15778.36  10.63129  -5.50508    0.5178 -0.203325     25.44        0.
  16022.48  10.73052  -20.5174     1.912 -0.549795     35.06        0.
  16087.28  10.68731  -9.73827    0.9112 -0.280404     32.63        0.
  16657.41  10.96134  -15.2577     1.392 -0.571249     25.09        0.
  17469.53  10.68093  -14.8204     1.388 -0.714958     19.47        0.
  17658.25  10.45522  -22.3658     2.139   -1.1334     18.54        0.
  20546.71  9.030052  -186.187     20.62  -2.46824     70.86        0.
  20656.06  9.086548  -124.789     13.73  -1.54379     75.94        0.
  22001.18  10.84397  -30.9098      2.85 -0.670964     43.28        0.

Nov  7 13:40 [vega_nir.fits]: Vega model
    center      cont      flux       eqw      core     gfwhm     lfwhm
  12821.12 2.718E-13 -2.81E-12     10.34 -6.15E-14     42.88        0.
  10941.09 4.684E-13 -4.98E-12     10.62 -1.25E-13     37.44        0.
